tag,n,d,p,graph_seed,spsa_seed,opt_cut,best_cut,approx_ratio,est_Ecut,best_str,total_shots,L,D,C_add,C_ratio
geom-aware,6,3,4,1011,2011,7,7,1.0,6.19677734375,001101,351929,139.5259816752732,2.2801756390725316,137.24580603620066,61.19089217707185
fixed1024,6,3,4,1012,2012,7,7,1.0,6.048583984375,010110,384000,144.93504097813988,2.2373780565708126,142.69766292156908,64.77896775312041
default,6,3,4,1012,2012,7,7,1.0,6.814208984375,100101,787683,123.26852911126872,2.8718918261438775,120.39663728512484,42.9224137166694
geom-aware,6,3,4,1012,2012,7,7,1.0,6.537841796875,100101,436899,143.05570985558523,2.643515897589461,140.41219395799578,54.11569871247351
fixed1024,6,3,4,1013,2013,7,7,1.0,6.430419921875,001110,384000,148.1026194970814,2.0691064785596387,146.03351301852177,71.57805605063866
default,6,3,4,1013,2013,7,7,1.0,6.711669921875,010101,787683,169.46576701438477,2.3642035526006575,167.1015634617841,71.67985465040437
geom-aware,6,3,4,1013,2013,7,7,1.0,6.803955078125,010101,391502,162.9526979249876,1.8621769125610907,161.0905210124265,87.50656117891364
fixed1024,6,3,4,1014,2014,7,7,1.0,6.32275390625,100110,384000,116.30390365601193,2.0295065514860733,114.27439710452585,57.30649333004137
default,6,3,4,1014,2014,7,7,1.0,6.19580078125,001101,787683,141.79769211394662,2.065254860593249,139.73243725335337,68.65868945260098
geom-aware,6,3,4,1014,2014,7,7,1.0,6.8056640625,001101,379364,147.096796228135,1.6213443804494192,145.47545184768558,90.7252018768285
fixed1024,6,3,4,1015,2015,7,7,1.0,5.52294921875,101001,384000,79.42139581584166,3.035059479573677,76.38633633626799,26.16798660795856
default,6,3,4,1015,2015,7,7,1.0,5.337158203125,101001,787683,76.6857824991748,2.6273532541681552,74.05842924500665,29.187465514017546
geom-aware,6,3,4,1015,2015,7,7,1.0,5.39697265625,101001,740504,68.83187354861627,2.966997926500089,65.86487562211619,23.19916469567988
fixed1024,6,3,4,1016,2016,7,7,1.0,5.571533203125,101010,384000,53.11341851276767,2.7227751903352067,50.39064332243247,19.50708920123103
default,6,3,4,1016,2016,7,7,1.0,5.593994140625,101010,787683,62.58944512662039,2.6013475599915403,59.98809756662885,24.0603931936046
geom-aware,6,3,4,1016,2016,7,7,1.0,5.55859375,101010,560750,81.82391018604099,2.640992751520711,79.18291743452028,30.982254736945393
fixed1024,6,3,4,1017,2017,7,3,0.42857142857142855,5.303955078125,101100,384000,84.73983064784483,2.8776759217292645,81.86215472611556,29.447315456190296
default,6,3,4,1017,2017,7,7,1.0,5.630859375,010101,787683,49.33185425172316,2.147952326763948,47.18390192495921,22.966922327389508
geom-aware,6,3,4,1017,2017,7,7,1.0,5.515869140625,010101,697147,85.2189528139314,2.6536158475181812,82.56533696641321,32.114276410292476
fixed1024,6,3,4,1018,2018,7,7,1.0,5.603759765625,011001,384000,60.91174499283637,2.4499609592729845,58.46178403356338,24.862332912811667
default,6,3,4,1018,2018,7,7,1.0,5.581298828125,011001,787683,77.36139339895963,2.8634489931363776,74.49794440582326,27.016857497511968
geom-aware,6,3,4,1018,2018,7,7,1.0,5.552490234375,011001,263332,65.20081665544373,2.9907396292255766,62.21007702621815,21.800900358660396
fixed1024,6,3,4,1019,2019,7,5,0.7142857142857143,5.3271484375,010101,384000,94.31434104783689,2.477338241501991,91.8370028063349,38.07083726712055
default,6,3,4,1019,2019,7,7,1.0,5.62255859375,011001,787683,48.101467856020165,2.8414340657474457,45.26003379027272,16.928588432111642
geom-aware,6,3,4,1019,2019,7,7,1.0,5.476318359375,010110,448103,64.60286610904151,2.6205765538606904,61.98228955518083,24.652157561994198
